CV Input,Rating
"Education: BS in Data Science at Air University, Experience: Freelance AI/ML projects on Upwork (2 years), GPA: 3.25, Skills: AWS, Django, RAG, GANs, Excel, Python, Docker, Deep Learning",7.5
"Education: Bachelors of Software Engineering at FAST, Experience: 4 years ML Engineer at KeepTruckin, GPA: 3.47, Skills: Deep Learning, Pandas, Tableau, Scikit-learn",8.1
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 1 year Data Analyst at Daraz, GPA: 3.58, Skills: PowerBI, Pandas, Docker, Deep Learning, HTML, LLMs, Keras",5.6
"Education: Bachelors of Data Science at NUST, Experience: 1 year Data Analyst at Daraz, GPA: 2.19, Skills: Tableau, Python, Django, TensorFlow, Numpy, Kubernetes, Data Science",6.9
"Education: Diploma in Software Engineering at Unknown Institute, Experience: No professional experience, GPA: 2.74, Skills: HTML, LLMs, Django, Statistics, Java, NLP",3.1
"Education: Diploma in Software Engineering at Unknown Institute, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 2.46, Skills: Docker, Computer Vision, RAG, Statistics, TensorFlow, Pandas",5.6
"Education: Bachelors of Data Science at NUST, Experience: 3 years Research Assistant in AI at NUST, GPA: 3.35, Skills: LangChain, HTML, Machine Learning, Python, Keras",8.8
"Education: Bachelors of Computer Science at GIKI, Experience: Founder of small AI startup (1 year), GPA: 3.55, Skills: LangChain, Data Science, TensorFlow, Kubernetes, LLMs, GCP, PyTorch",9.4
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 3 years Research Assistant in AI at NUST, GPA: 2.62, Skills: Keras, Statistics, Django, Kubernetes, JavaScript, Transformers, TensorFlow",5.6
"Education: Bachelors of Data Science at NUST, Experience: 1 year AI Intern at 10Pearls, GPA: 2.73, Skills: GANs, Keras, RAG, TensorFlow",7.5
"Education: BS in AI at COMSATS, Experience: 1 year Data Analyst at Daraz, GPA: 3.41, Skills: Flask, Python, Data Science, Deep Learning",7.5
"Education: Bachelors of Computer Science at Punjab University, Experience: 2 years Software Developer at Arbisoft, GPA: 3.84, Skills: Statistics, JavaScript, Keras, Docker, Excel",6.2
"Education: BS in Data Science at Air University, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 2.06, Skills: Django, Docker, PowerBI, Excel, Java",5.6
"Education: Bachelors of Computer Science at GIKI, Experience: 3 years Research Assistant in AI at NUST, GPA: 2.32, Skills: PyTorch, Machine Learning, Data Science, C++, Django, Statistics",7.5
"Education: BS in Data Science at Air University, Experience: 1 year Junior Developer at TPS, GPA: 2.57, Skills: LangChain, Docker, Excel, Pandas, Scikit-learn, Data Science",6.2
"Education: Bachelors of Computer Science at GIKI, Experience: No professional experience, GPA: 2.17, Skills: JavaScript, Excel, Numpy, GCP, RAG, PyTorch, HTML, Deep Learning",5.6
"Education: BS in AI at COMSATS, Experience: Worked for 2 years in Systems Limited as ML Engineer, GPA: 2.36, Skills: RAG, Scikit-learn, CSS, NLP, Kubernetes, LLMs, TensorFlow",6.9
"Education: BS in AI at COMSATS, Experience: 4 years ML Engineer at KeepTruckin, GPA: 3.25, Skills: GCP, Data Science, GANs, C++, Numpy, Keras, PyTorch, NLP",7.5
"Education: Bachelors of Computer Science at GIKI, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 3.89, Skills: Data Science, TensorFlow, JavaScript, Scikit-learn, PyTorch, Transformers, Statistics",10.0
"Education: BS in Data Science at Air University, Experience: 3 years Data Scientist at CureMD, GPA: 2.48, Skills: AWS, Computer Vision, Deep Learning, Kubernetes, Tableau, Excel, PowerBI, SQL",6.9
"Education: MS in AI at LUMS, Experience: No professional experience, GPA: 2.09, Skills: Statistics, Computer Vision, JavaScript, PyTorch",5.6
"Education: Bachelors of Computer Science at Punjab University, Experience: Worked for 2 years in Systems Limited as ML Engineer, GPA: 2.6, Skills: Django, AWS, Java, Pandas, NLP, Statistics, HTML, Excel",5.6
"Education: Bachelors of Data Science at NUST, Experience: 2 years Software Developer at Arbisoft, GPA: 3.02, Skills: PyTorch, Scikit-learn, Docker, LangChain",7.5
"Education: MS in AI at LUMS, Experience: 1 year AI Intern at 10Pearls, GPA: 3.28, Skills: TensorFlow, Tableau, Kubernetes, HTML",7.5
"Education: BS in AI at COMSATS, Experience: Founder of small AI startup (1 year), GPA: 2.19, Skills: LangChain, C++, JavaScript, Python, Tableau, GCP, Machine Learning",6.9
"Education: Bachelors of Computer Science at Punjab University, Experience: Worked for 2 years in Systems Limited as ML Engineer, GPA: 2.39, Skills: Numpy, Keras, GCP, Docker, SQL",5.0
"Education: Bachelors of Computer Science at GIKI, Experience: 3 years Research Assistant in AI at NUST, GPA: 3.58, Skills: NLP, Statistics, Excel, GANs, Django",8.1
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 1 year AI Intern at 10Pearls, GPA: 3.16, Skills: Transformers, Statistics, Keras, SQL, Flask",5.6
"Education: MS in AI at LUMS, Experience: 3 years Research Assistant in AI at NUST, GPA: 3.49, Skills: Data Science, LangChain, JavaScript, TensorFlow, PowerBI",8.8
"Education: Diploma in Software Engineering at Unknown Institute, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 3.2, Skills: Data Science, Scikit-learn, Computer Vision, PowerBI",6.2
"Education: Bachelors of Data Science at NUST, Experience: 1 year Data Analyst at Daraz, GPA: 3.64, Skills: GCP, CSS, PowerBI, GANs, Data Science, JavaScript, LangChain, Statistics",8.1
"Education: Bachelors of Computer Science at GIKI, Experience: 1 year Junior Developer at TPS, GPA: 2.79, Skills: Machine Learning, Tableau, Data Science, Django",6.9
"Education: Bachelors of Software Engineering at FAST, Experience: 3 years Data Scientist at CureMD, GPA: 3.24, Skills: TensorFlow, Scikit-learn, PowerBI, Python",8.1
"Education: Bachelors of Software Engineering at FAST, Experience: No professional experience, GPA: 2.57, Skills: JavaScript, C++, Flask, GANs, NLP, LLMs, Statistics, PyTorch",5.6
"Education: BS in AI at COMSATS, Experience: 1 year Junior Developer at TPS, GPA: 2.71, Skills: SQL, LangChain, JavaScript, Keras, GANs",5.6
"Education: Bachelors of Computer Science at Punjab University, Experience: Founder of small AI startup (1 year), GPA: 3.21, Skills: Excel, HTML, Tableau, C++, TensorFlow, Python, Machine Learning, JavaScript",6.9
"Education: BS in Data Science at Air University, Experience: 2 years Software Developer at Arbisoft, GPA: 2.06, Skills: LLMs, Tableau, AWS, Transformers, Python, GANs, LangChain, Flask",6.2
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 3 years Data Scientist at CureMD, GPA: 2.08, Skills: RAG, Flask, Tableau, Machine Learning, Django, PyTorch",5.6
"Education: Bachelors of Computer Science at GIKI, Experience: 1 year AI Intern at 10Pearls, GPA: 3.63, Skills: Django, CSS, PyTorch, GANs",8.1
"Education: BS in AI at COMSATS, Experience: Founder of small AI startup (1 year), GPA: 3.8, Skills: Docker, LLMs, Data Science, Kubernetes, Excel, Computer Vision, Keras, LangChain",8.8
"Education: MS in AI at LUMS, Experience: 4 years ML Engineer at KeepTruckin, GPA: 3.16, Skills: PyTorch, Kubernetes, Docker, JavaScript, TensorFlow",8.1
"Education: Bachelors of Software Engineering at FAST, Experience: No professional experience, GPA: 3.16, Skills: GANs, Excel, AWS, PyTorch",5.6
"Education: Bachelors of Computer Science at GIKI, Experience: 2 years Software Developer at Arbisoft, GPA: 3.95, Skills: Keras, SQL, TensorFlow, GCP, Deep Learning, Docker, LLMs",8.8
"Education: Bachelors of Computer Science at Punjab University, Experience: 2 years Software Developer at Arbisoft, GPA: 2.63, Skills: Statistics, Kubernetes, Data Science, SQL, Docker, Excel, CSS",5.0
"Education: Bachelors of Computer Science at Punjab University, Experience: 2 years Software Developer at Arbisoft, GPA: 2.89, Skills: TensorFlow, RAG, C++, GANs, Computer Vision",6.2
"Education: Bachelors of Software Engineering at FAST, Experience: 2 years Software Developer at Arbisoft, GPA: 2.61, Skills: AWS, Flask, Docker, GCP, Computer Vision, Scikit-learn, Python",6.9
"Education: Bachelors of Computer Science at GIKI, Experience: 3 years Data Scientist at CureMD, GPA: 2.3, Skills: Docker, Computer Vision, TensorFlow, SQL, Kubernetes, Numpy, GANs, Transformers",7.5
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 1 year Data Analyst at Daraz, GPA: 3.32, Skills: Keras, Data Science, Docker, GANs, TensorFlow, Python",6.2
"Education: Bachelors of Computer Science at GIKI, Experience: 1 year Data Analyst at Daraz, GPA: 2.21, Skills: LangChain, Computer Vision, Data Science, RAG, Deep Learning",7.5
"Education: BS in Data Science at Air University, Experience: 3 years Research Assistant in AI at NUST, GPA: 3.16, Skills: Flask, Deep Learning, AWS, GANs, Django",6.9
"Education: Diploma in Software Engineering at Unknown Institute, Experience: Freelance AI/ML projects on Upwork (2 years), GPA: 3.84, Skills: Scikit-learn, LLMs, Tableau, C++, PowerBI, JavaScript",6.2
"Education: Bachelors of Computer Science at GIKI, Experience: 1 year AI Intern at 10Pearls, GPA: 3.1, Skills: Keras, CSS, Kubernetes, Machine Learning, RAG",8.1
"Education: MS in AI at LUMS, Experience: Freelance AI/ML projects on Upwork (2 years), GPA: 3.78, Skills: Python, PyTorch, Deep Learning, CSS, Django",9.4
"Education: BS in Data Science at Air University, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 3.95, Skills: Excel, GANs, Flask, Numpy, Tableau, Statistics, Computer Vision",8.1
"Education: Diploma in Software Engineering at Unknown Institute, Experience: No professional experience, GPA: 2.89, Skills: HTML, JavaScript, Numpy, Django, SQL",3.1
"Education: BS in Data Science at Air University, Experience: No professional experience, GPA: 3.53, Skills: Deep Learning, HTML, PyTorch, Pandas, GCP, PowerBI, Flask",6.2
"Education: MS in AI at LUMS, Experience: 3 years Research Assistant in AI at NUST, GPA: 2.42, Skills: JavaScript, Data Science, Flask, Django, Java, Pandas, Python, PowerBI",7.5
"Education: BS in Data Science at Air University, Experience: Worked for 2 years in Systems Limited as ML Engineer, GPA: 3.18, Skills: PyTorch, Python, JavaScript, GANs",7.5
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 1 year AI Intern at 10Pearls, GPA: 3.63, Skills: Django, GCP, LangChain, RAG, Docker, AWS, PyTorch",6.9
"Education: BS in AI at COMSATS, Experience: 1 year Data Analyst at Daraz, GPA: 3.3, Skills: LangChain, HTML, Data Science, Tableau",7.5
"Education: Bachelors of Computer Science at Punjab University, Experience: 3 years Data Scientist at CureMD, GPA: 2.27, Skills: SQL, PowerBI, GCP, Numpy, Data Science, Tableau, LLMs",5.6
"Education: Diploma in Software Engineering at Unknown Institute, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 2.66, Skills: PyTorch, Tableau, CSS, Java",5.0
"Education: BS in Data Science at Air University, Experience: 1 year Data Analyst at Daraz, GPA: 2.05, Skills: Data Science, Scikit-learn, PyTorch, AWS, Transformers",6.2
"Education: MS in AI at LUMS, Experience: 1 year Junior Developer at TPS, GPA: 2.45, Skills: CSS, Java, PyTorch, Data Science",6.9
"Education: BS in Data Science at Air University, Experience: 3 years Research Assistant in AI at NUST, GPA: 3.26, Skills: Keras, NLP, Python, Data Science, SQL, AWS",7.5
"Education: Bachelors of Computer Science at GIKI, Experience: Worked for 2 years in Systems Limited as ML Engineer, GPA: 2.24, Skills: LLMs, Pandas, CSS, LangChain, Python",7.5
"Education: Diploma in Software Engineering at Unknown Institute, Experience: No professional experience, GPA: 2.05, Skills: RAG, Pandas, PyTorch, Computer Vision, Python, Excel, CSS, GCP",4.4
"Education: Bachelors of Computer Science at Punjab University, Experience: 1 year Junior Developer at TPS, GPA: 3.67, Skills: PyTorch, Machine Learning, Numpy, HTML, Data Science",6.9
"Education: Bachelors of Computer Science at Punjab University, Experience: Founder of small AI startup (1 year), GPA: 3.64, Skills: Scikit-learn, Data Science, Tableau, Docker",6.9
"Education: BS in Data Science at Air University, Experience: 4 years ML Engineer at KeepTruckin, GPA: 2.42, Skills: Python, Machine Learning, GCP, SQL, Flask",6.9
"Education: Bachelors of Data Science at NUST, Experience: 1 year Data Analyst at Daraz, GPA: 2.92, Skills: GANs, JavaScript, Computer Vision, C++",6.9
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 4 years ML Engineer at KeepTruckin, GPA: 2.74, Skills: TensorFlow, JavaScript, Python, NLP, GANs, LLMs, Excel, Django",5.6
"Education: Bachelors of Software Engineering at FAST, Experience: 2 years Software Developer at Arbisoft, GPA: 3.54, Skills: Computer Vision, Data Science, PowerBI, PyTorch, Docker, Deep Learning, Django",8.8
"Education: MS in AI at LUMS, Experience: 1 year Data Analyst at Daraz, GPA: 3.88, Skills: Docker, Kubernetes, Transformers, TensorFlow, Excel, SQL, AWS",8.8
"Education: BS in Data Science at Air University, Experience: 1 year AI Intern at 10Pearls, GPA: 3.37, Skills: TensorFlow, LangChain, PowerBI, Scikit-learn, Transformers",8.1
"Education: BS in AI at COMSATS, Experience: Founder of small AI startup (1 year), GPA: 3.27, Skills: Deep Learning, Tableau, Java, Pandas",6.9
"Education: Bachelors of Computer Science at GIKI, Experience: Freelance AI/ML projects on Upwork (2 years), GPA: 3.77, Skills: Machine Learning, LLMs, Deep Learning, Java, Numpy, HTML",9.4
"Education: MS in AI at LUMS, Experience: 1 year Junior Developer at TPS, GPA: 2.23, Skills: Tableau, Flask, AWS, HTML, GANs, PowerBI",5.6
"Education: BS in Data Science at Air University, Experience: No professional experience, GPA: 2.57, Skills: Docker, RAG, Tableau, Java, PyTorch",5.0
"Education: BS in AI at COMSATS, Experience: 1 year Junior Developer at TPS, GPA: 3.19, Skills: AWS, PowerBI, NLP, Data Science",6.9
"Education: Bachelors of Computer Science at Punjab University, Experience: 3 years Research Assistant in AI at NUST, GPA: 3.93, Skills: Django, Machine Learning, Numpy, CSS, Computer Vision, GCP, LangChain",8.1
"Education: Bachelors of Computer Science at Punjab University, Experience: 3 years Research Assistant in AI at NUST, GPA: 3.16, Skills: Docker, Django, LLMs, Python, Scikit-learn, C++, Flask, TensorFlow",6.9
"Education: BS in Data Science at Air University, Experience: 4 years ML Engineer at KeepTruckin, GPA: 3.68, Skills: CSS, Tableau, HTML, SQL, PyTorch, C++, Machine Learning, Flask",8.1
"Education: BS in AI at COMSATS, Experience: 3 years Data Scientist at CureMD, GPA: 3.37, Skills: Django, JavaScript, C++, Docker, Data Science, GCP, LangChain, TensorFlow",8.1
"Education: BS in Data Science at Air University, Experience: No professional experience, GPA: 2.47, Skills: PyTorch, Python, Scikit-learn, Flask, TensorFlow, LLMs, PowerBI",5.0
"Education: Bachelors of Software Engineering at FAST, Experience: 3 years Data Scientist at CureMD, GPA: 3.99, Skills: RAG, Pandas, HTML, Numpy, AWS",8.8
"Education: BS in Data Science at Air University, Experience: 3 years Research Assistant in AI at NUST, GPA: 3.29, Skills: Kubernetes, Numpy, Statistics, LLMs",6.2
"Education: MS in AI at LUMS, Experience: 1 year AI Intern at 10Pearls, GPA: 3.65, Skills: GCP, HTML, Numpy, GANs, RAG, Scikit-learn",8.1
"Education: Bachelors of Computer Science at GIKI, Experience: Worked for 2 years in Systems Limited as ML Engineer, GPA: 3.15, Skills: Deep Learning, Python, Pandas, GANs, Java, Keras",8.1
"Education: Diploma in Software Engineering at Unknown Institute, Experience: Founder of small AI startup (1 year), GPA: 3.9, Skills: NLP, Statistics, TensorFlow, C++",7.5
"Education: Bachelors of Data Science at NUST, Experience: No professional experience, GPA: 3.3, Skills: Numpy, Pandas, LangChain, Data Science, Deep Learning, TensorFlow",7.5
"Education: Bachelors of Data Science at NUST, Experience: 4 years ML Engineer at KeepTruckin, GPA: 2.94, Skills: Scikit-learn, Transformers, Kubernetes, PyTorch",8.1
"Education: Bachelors of Computer Science at GIKI, Experience: 3 years Data Scientist at CureMD, GPA: 3.68, Skills: TensorFlow, LLMs, Scikit-learn, Transformers, SQL, PowerBI",8.8
"Education: BS in Data Science at Air University, Experience: 1 year AI Intern at 10Pearls, GPA: 2.44, Skills: Pandas, JavaScript, Python, Machine Learning, LangChain",6.9
"Education: BS in AI at COMSATS, Experience: Freelance AI/ML projects on Upwork (2 years), GPA: 3.69, Skills: JavaScript, Machine Learning, HTML, Python, TensorFlow, Excel, GANs",8.1
"Education: Bachelors of Computer Science at GIKI, Experience: 1 year Junior Developer at TPS, GPA: 2.55, Skills: JavaScript, Data Science, Excel, GANs, Scikit-learn",6.2
"Education: Bachelors of Computer Science at GIKI, Experience: No professional experience, GPA: 2.52, Skills: Machine Learning, Statistics, RAG, PyTorch, Computer Vision",6.2
"Education: BS in AI at COMSATS, Experience: 1 year Junior Developer at TPS, GPA: 3.69, Skills: Deep Learning, Numpy, Docker, HTML, Pandas, TensorFlow",7.5
"Education: Bachelors of Software Engineering at FAST, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 2.08, Skills: Docker, TensorFlow, PyTorch, Django, PowerBI, Kubernetes, Data Science, Python",8.1
"Education: MS in AI at LUMS, Experience: Freelance AI/ML projects on Upwork (2 years), GPA: 2.39, Skills: Tableau, GCP, Python, AWS, Machine Learning, Numpy, NLP, CSS",7.5
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 1 year Data Analyst at Daraz, GPA: 3.74, Skills: Keras, Transformers, Computer Vision, GCP, AWS, SQL, HTML",6.9
"Education: Bachelors of Data Science at NUST, Experience: 4 years ML Engineer at KeepTruckin, GPA: 3.01, Skills: Django, CSS, C++, Keras, Transformers, Excel, Flask, SQL",7.5
"Education: BS in AI at COMSATS, Experience: No professional experience, GPA: 3.78, Skills: Numpy, Transformers, Docker, Deep Learning, Statistics",6.9
"Education: BS in Data Science at Air University, Experience: 2 years Software Developer at Arbisoft, GPA: 3.49, Skills: GCP, PowerBI, CSS, Data Science",6.9
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 2 years Software Developer at Arbisoft, GPA: 3.37, Skills: Computer Vision, TensorFlow, Excel, Data Science, GANs, Java, JavaScript",6.2
"Education: BS in AI at COMSATS, Experience: 3 years Research Assistant in AI at NUST, GPA: 2.06, Skills: TensorFlow, CSS, RAG, Computer Vision, AWS, GCP",6.9
"Education: Bachelors of Software Engineering at FAST, Experience: 1 year Data Analyst at Daraz, GPA: 3.33, Skills: Numpy, Data Science, AWS, LLMs",7.5
"Education: Diploma in Software Engineering at Unknown Institute, Experience: 2 years Software Developer at Arbisoft, GPA: 2.21, Skills: LangChain, Keras, Statistics, Pandas, Java, Tableau, Docker",4.4
"Education: Bachelors of Software Engineering at FAST, Experience: Worked for 5 years in Devsinc as AI Engineer, GPA: 3.3, Skills: Java, RAG, Keras, Deep Learning, Flask, LLMs, GCP, Transformers",8.8
"Education: Bachelors of Computer Science at Punjab University, Experience: 3 years Data Scientist at CureMD, GPA: 3.87, Skills: C++, LangChain, JavaScript, Excel",7.5
"Education: MS in AI at LUMS, Experience: 1 year Junior Developer at TPS, GPA: 2.53, Skills: C++, NLP, Keras, Django",6.2
"Education: Diploma in Software Engineering at Unknown Institute, Experience: Worked for 2 years in Systems Limited as ML Engineer, GPA: 2.27, Skills: Transformers, Django, PowerBI, Scikit-learn, Deep Learning",5.6
"Education: MS in AI at LUMS, Experience: Worked for 2 years in Systems Limited as ML Engineer, GPA: 3.25, Skills: PyTorch, Kubernetes, RAG, Statistics, Data Science, HTML, Transformers, Scikit-learn",8.8
"Education: Bachelors of Computer Science at Punjab University, Experience: 3 years Research Assistant in AI at NUST, GPA: 2.87, Skills: Deep Learning, RAG, Docker, Python, Machine Learning, HTML",7.5
"Education: BS in AI at COMSATS, Experience: 1 year Data Analyst at Daraz, GPA: 2.49, Skills: NLP, Numpy, Kubernetes, SQL",5.6
"Education: Bachelors of Computer Science at GIKI, Experience: 1 year Junior Developer at TPS, GPA: 3.24, Skills: Statistics, PowerBI, Kubernetes, GANs, Django",6.2
"Education: MS in AI at LUMS, Experience: 3 years Research Assistant in AI at NUST, GPA: 4.0, Skills: Numpy, Scikit-learn, Kubernetes, NLP",8.8
"Education: Bachelors of Computer Science at Punjab University, Experience: 1 year AI Intern at 10Pearls, GPA: 3.55, Skills: GCP, PowerBI, Django, NLP, LLMs, PyTorch, Docker",7.5
"Education: BS in AI at COMSATS, Experience: No professional experience, GPA: 3.19, Skills: Data Science, Scikit-learn, Transformers, Statistics, C++, AWS, NLP, CSS",5.6
"Education: BS in Data Science at Air University, Experience: 2 years Software Developer at Arbisoft, GPA: 2.64, Skills: PowerBI, Numpy, Computer Vision, Docker, CSS, Keras",5.6
